,temp_avg,temp_max,temp_min,encode_state,Year,Month,Precipitation,Total_Suntime
300,20.6251812,37.26171875,12.54766464,0,1921,1,1.006376011,1091935
301,29.02097702,40.88053513,16.66997719,0,1921,2,1.103350188,1080637
302,35.1835556,45.53792191,22.5240097,0,1921,3,1.378773622,1331540
303,43.09837723,46.79353333,25.12364578,0,1921,4,2.009095106,1425322
304,51.03297806,64.7926712,37.85536575,0,1921,5,2.063407838,1592850
305,61.23368073,73.34585571,46.54627991,0,1921,6,2.08942946,1601708
306,66.07635498,80.36199951,50.23651886,0,1921,7,2.118654774,1627689
307,62.01005173,76.67467499,46.03221512,0,1921,8,2.526368541,1525127
308,59.56986618,70.3070755,41.56838608,0,1921,9,1.289708229,1345906
309,45.64058304,57.41830444,32.57486725,0,1921,10,1.138573261,1249516
310,32.73093796,43.3336525,20.56983757,0,1921,11,0.99925864,1087460
311,24.26145554,35.90647125,12.22426987,0,1921,12,1.100179293,1059061
312,23.9531517,39.83686447,14.53616905,0,1922,1,1.123452975,1091300
313,28.25577545,42.46304321,14.41737747,0,1922,2,1.17459117,1079692
314,34.30732346,51.75289917,24.26848602,0,1922,3,1.843289089,1330391
315,42.77933502,52.23786926,26.08233643,0,1922,4,1.803518224,1424272
316,49.37101746,64.9291687,39.00933456,0,1922,5,2.013919074,1592059
317,61.73163986,75.07217407,47.34470367,0,1922,6,2.052063926,1601550
318,66.58328247,79.83242798,52.98273087,0,1922,7,2.131960644,1628243
319,64.09318542,79.06812286,51.01731491,0,1922,8,1.85430862,1526111
320,58.33562088,74.91746521,41.82106018,0,1922,9,1.255493771,1346995
321,46.53646088,65.41424561,34.78626251,0,1922,10,1.160848642,1250616
322,32.21347046,50.18829727,22.07544327,0,1922,11,1.239938603,1088261
323,24.89097595,41.84201431,18.74894333,0,1922,12,1.040355281,1059220
324,26.95125961,34.10929489,7.922525406,0,1923,1,1.077309168,1090667
325,24.99485207,36.139431,12.5476923,0,1923,2,1.116512407,1078746
326,35.46780014,44.74298477,18.55873871,0,1923,3,1.520536026,1329242
327,42.20114899,51.55267334,26.86410713,0,1923,4,1.788500042,1423222
328,51.31582642,65.72735596,36.75120163,0,1923,5,2.004008296,1591268
329,64.2846756,79.55822754,49.90943909,0,1923,6,1.85913437,1601391
