,Precipitation,encode_state,Year,Month
3564,0.833323701,0,1929,1
3565,1.124899303,0,1929,2
3566,1.531668719,0,1929,3
3567,1.650569438,0,1929,4
3568,2.008556184,0,1929,5
3569,0.998178863,0,1929,6
3570,2.284143777,0,1929,7
3571,2.104686238,0,1929,8
3572,1.779101708,0,1929,9
3573,1.194860441,0,1929,10
3574,1.036973063,0,1929,11
3575,0.820885041,0,1929,12
3672,1.198123319,0,1930,1
3673,0.949987766,0,1930,2
3674,1.419542496,0,1930,3
3675,1.602832954,0,1930,4
3676,2.150906577,0,1930,5
3677,1.203818998,0,1930,6
3678,2.538082359,0,1930,7
3679,2.308423854,0,1930,8
3680,1.478985033,0,1930,9
3681,1.29821706,0,1930,10
3682,1.107273592,0,1930,11
3683,0.727544927,0,1930,12
3780,0.717317155,0,1931,1
3781,1.198155054,0,1931,2
3782,1.309343362,0,1931,3
3783,2.137424424,0,1931,4
3784,1.993115125,0,1931,5
3785,1.411852,0,1931,6
3786,1.853841719,0,1931,7
3787,1.97476396,0,1931,8
3788,1.46154484,0,1931,9
3789,1.273562722,0,1931,10
3790,1.121453487,0,1931,11
3791,0.896755531,0,1931,12
3888,0.881053169,0,1932,1
3889,1.113265487,0,1932,2
3890,1.28316525,0,1932,3
3891,1.958404296,0,1932,4
3892,1.945314863,0,1932,5
3893,1.707064095,0,1932,6
3894,2.023753223,0,1932,7
3895,1.99515403,0,1932,8
3896,1.314885222,0,1932,9
3897,1.333056298,0,1932,10
3898,1.094107443,0,1932,11
3899,0.970873694,0,1932,12
3996,1.001584521,0,1933,1
3997,1.109613821,0,1933,2
3998,1.2367564,0,1933,3
3999,2.036843376,0,1933,4
4000,1.869913139,0,1933,5
4001,1.074620386,0,1933,6
4002,1.982720015,0,1933,7
4003,2.314707544,0,1933,8
4004,1.726048299,0,1933,9
4005,1.413882706,0,1933,10
4006,0.945185866,0,1933,11
4007,1.065323651,0,1933,12
4104,0.885602005,0,1934,1
4105,1.290820922,0,1934,2
4106,1.052329629,0,1934,3
4107,1.907972755,0,1934,4
4108,1.905809301,0,1934,5
4109,1.256638871,0,1934,6
4110,1.88705166,0,1934,7
4111,1.907314303,0,1934,8
4112,1.50223931,0,1934,9
4113,1.403796824,0,1934,10
4114,1.055515063,0,1934,11
4115,1.071519922,0,1934,12
4212,1.0469473,0,1935,1
4213,1.108884071,0,1935,2
4214,1.132011346,0,1935,3
4215,1.912545425,0,1935,4
4216,3.409727631,0,1935,5
4217,1.483076371,0,1935,6
4218,1.805307485,0,1935,7
4219,1.959370293,0,1935,8
4220,1.482061856,0,1935,9
4221,1.120474465,0,1935,10
4222,0.960691095,0,1935,11
4223,0.954636202,0,1935,12
4320,1.040963155,0,1936,1
4321,1.207696058,0,1936,2
4322,1.324107991,0,1936,3
4323,1.625927542,0,1936,4
4324,1.97081696,0,1936,5
4325,1.489843906,0,1936,6
4326,2.072192043,0,1936,7
4327,2.191815989,0,1936,8
4328,1.632449514,0,1936,9
4329,1.438899316,0,1936,10
4330,0.885971714,0,1936,11
4331,1.015677291,0,1936,12
4428,1.066846531,0,1937,1
4429,1.10260359,0,1937,2
4430,1.336971023,0,1937,3
4431,1.8681497,0,1937,4
4432,1.991656702,0,1937,5
4433,1.763366868,0,1937,6
4434,2.024895028,0,1937,7
4435,1.799420563,0,1937,8
4436,1.35824172,0,1937,9
4437,1.236408473,0,1937,10
4438,0.981495149,0,1937,11
4439,1.137780458,0,1937,12
4536,0.9734276,0,1938,1
4537,1.11823512,0,1938,2
4538,1.665817819,0,1938,3
4539,1.858001298,0,1938,4
4540,2.54759065,0,1938,5
4541,1.605704655,0,1938,6
4542,2.13906572,0,1938,7
4543,1.959986421,0,1938,8
4544,1.826621706,0,1938,9
4545,1.619869439,0,1938,10
4546,0.888248915,0,1938,11
4547,1.053553528,0,1938,12
4644,1.091376901,0,1939,1
4645,1.12051182,0,1939,2
4646,1.629951342,0,1939,3
4647,1.796016964,0,1939,4
4648,1.836233224,0,1939,5
4649,1.299188153,0,1939,6
4650,2.100013567,0,1939,7
4651,1.905076405,0,1939,8
4652,1.651429826,0,1939,9
4653,1.239493038,0,1939,10
4654,0.997675586,0,1939,11
4655,1.14650439,0,1939,12
4752,1.142552784,0,1940,1
4753,1.064105678,0,1940,2
4754,1.325709105,0,1940,3
4755,1.823345215,0,1940,4
4756,2.189170457,0,1940,5
4757,1.35115377,0,1940,6
4758,1.8058993,0,1940,7
4759,1.610874823,0,1940,8
4760,1.789862025,0,1940,9
4761,1.412011377,0,1940,10
4762,1.153696378,0,1940,11
4763,1.173983507,0,1940,12
4860,1.151105041,0,1941,1
4861,1.119454632,0,1941,2
4862,1.778676804,0,1941,3
4863,2.080187671,0,1941,4
4864,2.280024724,0,1941,5
4865,1.840808745,0,1941,6
4866,2.110051894,0,1941,7
4867,1.999160063,0,1941,8
4868,2.221160094,0,1941,9
4869,1.926118574,0,1941,10
4870,1.198694705,0,1941,11
4871,1.133457633,0,1941,12
4968,1.10077429,0,1942,1
4969,1.210662697,0,1942,2
4970,1.438774634,0,1942,3
4971,3.216579796,0,1942,4
4972,1.296171747,0,1942,5
4973,1.848963105,0,1942,6
4974,2.064705168,0,1942,7
4975,2.015892508,0,1942,8
4976,1.646831612,0,1942,9
4977,2.011548583,0,1942,10
4978,0.911570076,0,1942,11
4979,1.013201188,0,1942,12
5076,1.164900099,0,1943,1
5077,1.102373808,0,1943,2
5078,1.256834449,0,1943,3
5079,1.297335617,0,1943,4
5080,2.196402554,0,1943,5
5081,1.688416408,0,1943,6
5082,2.023874853,0,1943,7
5083,2.013818341,0,1943,8
5084,1.257132681,0,1943,9
5085,1.266843019,0,1943,10
5086,1.025873589,0,1943,11
5087,1.050797713,0,1943,12
5184,1.14883399,0,1944,1
5185,1.19564561,0,1944,2
5186,1.547840727,0,1944,3
5187,2.627977688,0,1944,4
5188,2.181979444,0,1944,5
5189,1.239487328,0,1944,6
5190,2.052190745,0,1944,7
5191,1.273882102,0,1944,8
5192,1.280225621,0,1944,9
5193,1.404827739,0,1944,10
5194,1.1708758,0,1944,11
5195,1.033297952,0,1944,12
5292,1.14311124,0,1945,1
5293,1.207556677,0,1945,2
5294,1.285719407,0,1945,3
5295,2.491842185,0,1945,4
5296,1.71019812,0,1945,5
5297,1.551881502,0,1945,6
5298,2.181955391,0,1945,7
5299,2.396226644,0,1945,8
5300,1.298047988,0,1945,9
5301,1.387421919,0,1945,10
5302,1.020356446,0,1945,11
5303,0.952239684,0,1945,12
5400,1.091137772,0,1946,1
5401,1.139334807,0,1946,2
5402,1.341450907,0,1946,3
5403,1.911248795,0,1946,4
5404,2.128127418,0,1946,5
5405,1.106597174,0,1946,6
5406,2.389279397,0,1946,7
5407,2.185511797,0,1946,8
5408,1.235109052,0,1946,9
5409,1.413920565,0,1946,10
5410,1.310679335,0,1946,11
5411,0.921315524,0,1946,12
5508,1.005316871,0,1947,1
5509,1.089821073,0,1947,2
5510,1.694630629,0,1947,3
5511,2.074118803,0,1947,4
5512,2.077320905,0,1947,5
5513,1.943556146,0,1947,6
5514,1.935255224,0,1947,7
5515,2.094368833,0,1947,8
5516,1.372212693,0,1947,9
5517,1.217011841,0,1947,10
5518,1.045481516,0,1947,11
5519,1.171246105,0,1947,12
5616,1.093814962,0,1948,1
5617,1.182497877,0,1948,2
5618,1.434397556,0,1948,3
5619,1.441925502,0,1948,4
5620,2.087920327,0,1948,5
5621,2.271680076,0,1948,6
5622,1.928170363,0,1948,7
5623,1.984006078,0,1948,8
5624,1.270049602,0,1948,9
5625,1.070394941,0,1948,10
5626,1.062444997,0,1948,11
5627,1.199894718,0,1948,12
5724,1.14547124,0,1949,1
5725,1.122374529,0,1949,2
5726,1.315172317,0,1949,3
5727,1.621463768,0,1949,4
5728,2.437245557,0,1949,5
5729,2.882500805,0,1949,6
5730,2.070185949,0,1949,7
5731,1.969655675,0,1949,8
5732,1.21768169,0,1949,9
5733,1.426357888,0,1949,10
5734,0.999358201,0,1949,11
5735,1.020866111,0,1949,12
5832,0.952304469,0,1950,1
5833,1.130459211,0,1950,2
5834,1.378602476,0,1950,3
5835,1.544688159,0,1950,4
5836,1.439128352,0,1950,5
5837,1.832675066,0,1950,6
5838,2.295292622,0,1950,7
5839,1.847584759,0,1950,8
5840,1.413377813,0,1950,9
5841,1.154032372,0,1950,10
5842,1.069802403,0,1950,11
5843,0.94399267,0,1950,12
5940,1.144265253,0,1951,1
5941,1.091320696,0,1951,2
5942,1.272018384,0,1951,3
5943,2.054505709,0,1951,4
5944,2.052513703,0,1951,5
5945,1.489843906,0,1951,6
5946,1.904518365,0,1951,7
5947,2.183452854,0,1951,8
5948,1.077026089,0,1951,9
5949,1.607567937,0,1951,10
5950,0.95945459,0,1951,11
5951,1.686523961,0,1951,12
6048,1.151235772,0,1952,1
6049,1.146134543,0,1952,2
6050,1.391895061,0,1952,3
6051,1.682711352,0,1952,4
6052,2.013519639,0,1952,5
6053,0.861198855,0,1952,6
6054,1.940414673,0,1952,7
6055,2.008936705,0,1952,8
6056,1.329281045,0,1952,9
6057,1.143226055,0,1952,10
6058,1.138496427,0,1952,11
6059,0.908798931,0,1952,12
6156,1.117915785,0,1953,1
6157,1.099338052,0,1953,2
6158,1.318189795,0,1953,3
6159,1.838536573,0,1953,4
6160,2.024869639,0,1953,5
6161,1.274877572,0,1953,6
6162,2.096550329,0,1953,7
6163,2.175832496,0,1953,8
6164,1.195883182,0,1953,9
6165,1.254423372,0,1953,10
6166,1.223566017,0,1953,11
6167,0.974772068,0,1953,12
6264,0.980733387,0,1954,1
6265,1.049999618,0,1954,2
6266,1.779180296,0,1954,3
6267,1.315021872,0,1954,4
6268,1.937852445,0,1954,5
6269,1.235907609,0,1954,6
6270,2.148593175,0,1954,7
6271,1.939443254,0,1954,8
6272,1.410746127,0,1954,9
6273,1.393186429,0,1954,10
6274,0.986548576,0,1954,11
6275,0.956568305,0,1954,12
6372,0.929760807,0,1955,1
6373,1.189182805,0,1955,2
6374,1.353906371,0,1955,3
6375,2.092539591,0,1955,4
6376,2.358101809,0,1955,5
6377,1.361307704,0,1955,6
6378,1.924218198,0,1955,7
6379,2.228873489,0,1955,8
6380,1.278665504,0,1955,9
6381,1.294055747,0,1955,10
6382,1.153791647,0,1955,11
6383,0.970232907,0,1955,12
6480,1.208601847,0,1956,1
6481,1.111914985,0,1956,2
6482,1.213478843,0,1956,3
6483,1.887170117,0,1956,4
6484,1.590538901,0,1956,5
6485,1.162753047,0,1956,6
6486,1.991839924,0,1956,7
6487,1.719902,0,1956,8
6488,1.25148448,0,1956,9
6489,1.412335926,0,1956,10
6490,1.23978719,0,1956,11
6491,1.028344245,0,1956,12
6588,1.405402113,0,1957,1
6589,1.091109356,0,1957,2
6590,1.364430297,0,1957,3
6591,2.289142237,0,1957,4
6592,3.335284019,0,1957,5
6593,1.835196089,0,1957,6
6594,2.528905853,0,1957,7
6595,2.014515916,0,1957,8
6596,1.10995699,0,1957,9
6597,1.608648474,0,1957,10
6598,1.110476113,0,1957,11
6599,1.012830937,0,1957,12
6696,0.977133161,0,1958,1
6697,1.166532773,0,1958,2
6698,1.532756584,0,1958,3
6699,2.123254524,0,1958,4
6700,2.103185588,0,1958,5
6701,1.465124025,0,1958,6
6702,2.099487129,0,1958,7
6703,1.9303449,0,1958,8
6704,1.566287375,0,1958,9
6705,1.185343062,0,1958,10
6706,1.070033731,0,1958,11
6707,0.971219067,0,1958,12
6804,1.047815378,0,1959,1
6805,1.113747867,0,1959,2
6806,1.281169236,0,1959,3
6807,1.645874868,0,1959,4
6808,2.33836072,0,1959,5
6809,1.795279061,0,1959,6
6810,2.009045634,0,1959,7
6811,2.149727222,0,1959,8
6812,1.815483505,0,1959,9
6813,1.558462472,0,1959,10
6814,0.854468771,0,1959,11
6815,1.065558872,0,1959,12
6912,1.177941612,0,1960,1
6913,1.127064729,0,1960,2
6914,1.377230859,0,1960,3
6915,1.539142573,0,1960,4
6916,2.054269518,0,1960,5
6917,1.737281019,0,1960,6
6918,1.81617568,0,1960,7
6919,2.173902768,0,1960,8
6920,1.595006177,0,1960,9
6921,1.109359679,0,1960,10
6922,0.975301901,0,1960,11
6923,1.017150243,0,1960,12
7020,1.105029217,0,1961,1
7021,1.005642197,0,1961,2
7022,1.362912184,0,1961,3
7023,1.793295518,0,1961,4
7024,2.02603276,0,1961,5
7025,1.572120111,0,1961,6
7026,2.193427423,0,1961,7
7027,1.990584757,0,1961,8
7028,1.417397604,0,1961,9
7029,1.276476001,0,1961,10
7030,0.917886878,0,1961,11
7031,1.188156452,0,1961,12
7128,0.887888725,0,1962,1
7129,1.210624601,0,1962,2
7130,1.451103459,0,1962,3
7131,1.741152905,0,1962,4
7132,2.034055232,0,1962,5
7133,1.889488902,0,1962,6
7134,2.368202663,0,1962,7
7135,2.165373221,0,1962,8
7136,1.844441603,0,1962,9
7137,1.285864173,0,1962,10
7138,1.158946348,0,1962,11
7139,0.994374853,0,1962,12
7236,1.030926776,0,1963,1
7237,1.171511709,0,1963,2
7238,1.204893934,0,1963,3
7239,1.983803425,0,1963,4
